match_id,players_in_chat,percent_players_in_chat
1407,6,60.0
1408,7,70.0
1409,6,60.0
1410,5,50.0
1411,5,50.0
1412,6,60.0
1413,7,70.0
1414,9,90.0
1415,6,60.0
1416,4,40.0
1417,7,70.0
1418,4,40.0
1419,7,70.0
1420,9,90.0
1421,7,70.0
1422,4,40.0
1423,4,40.0
1424,7,70.0
1425,10,100.0
1426,7,70.0
1427,8,80.0
1428,8,80.0
1429,5,50.0
1430,9,90.0
1431,7,70.0
1432,3,30.0
1433,9,90.0
1434,7,70.0
1435,9,90.0
1436,4,40.0
1437,6,60.0
1438,8,80.0
1439,3,30.0
1440,7,70.0
1441,4,40.0
1442,6,60.0
1443,5,50.0
1444,5,50.0
1445,8,80.0
1446,4,40.0
1447,5,50.0
1448,5,50.0
1449,10,100.0
1450,5,50.0
1451,7,70.0
1452,5,50.0
1453,9,90.0
1454,8,80.0
1455,8,80.0
1456,6,60.0
1457,7,70.0
1458,5,50.0
1459,7,70.0
1460,7,70.0
1461,6,60.0
1462,5,50.0
1463,5,50.0
1464,7,70.0
1465,7,70.0
1466,9,90.0
1467,5,50.0
1468,4,40.0
1469,5,50.0
1470,7,70.0
1471,6,60.0
1472,3,30.0
1473,9,90.0
1474,9,90.0
1475,6,60.0
1476,5,50.0
1477,5,50.0
1478,9,90.0
1479,4,40.0
1480,6,60.0
1481,5,50.0
1482,3,30.0
1483,10,100.0
1484,7,70.0
1485,7,70.0
1486,8,80.0
1487,6,60.0
1488,3,30.0
1489,4,40.0
1490,4,40.0
1491,5,50.0
1492,5,50.0
1493,5,50.0
1494,9,90.0
1495,7,70.0
1496,7,70.0
1497,9,90.0
1498,6,60.0
1499,4,40.0
1500,6,60.0
1501,6,60.0
1502,8,80.0
1503,8,80.0
1504,6,60.0
1505,9,90.0
1506,3,30.0
1507,8,80.0
1508,7,70.0
1509,8,80.0
1510,5,50.0
1511,6,60.0
1512,5,50.0
1513,7,70.0
1514,5,50.0
1515,5,50.0
1516,4,40.0
1517,8,80.0
1518,8,80.0
1519,2,20.0
1520,4,40.0
1521,7,70.0
1522,8,80.0
1523,2,20.0
1524,7,70.0
1525,2,20.0
1526,9,90.0
1527,6,60.0
1528,8,80.0
1529,7,70.0
1530,8,80.0
1531,7,70.0
1532,10,100.0
1533,6,60.0
1534,5,50.0
1535,8,80.0
1536,4,40.0
1537,6,60.0
1538,7,70.0
1539,6,60.0
1540,7,70.0
1541,4,40.0
1542,7,70.0
1543,4,40.0
1544,9,90.0
1545,8,80.0
1546,4,40.0
1547,7,70.0
1548,8,80.0
1549,8,80.0
1550,6,60.0
1551,4,40.0
1552,6,60.0
1553,5,50.0
1554,8,80.0
1555,7,70.0
1556,7,70.0
1557,9,90.0
1558,8,80.0
1559,8,80.0
1560,6,60.0
1561,8,80.0
1562,8,80.0
1563,6,60.0
1564,3,30.0
1565,4,40.0
1566,3,30.0
1567,5,50.0
1568,6,60.0
1569,8,80.0
1570,9,90.0
1571,8,80.0
1572,5,50.0
1573,9,90.0
1574,8,80.0
1575,5,50.0
1576,7,70.0
1577,6,60.0
1578,8,80.0
1579,9,90.0
1580,9,90.0
1581,4,40.0
1582,1,10.0
1583,3,30.0
1584,10,100.0
1585,1,10.0
1586,8,80.0
1587,5,50.0
1588,7,70.0
1589,7,70.0
1590,4,40.0
1591,7,70.0
1592,5,50.0
1593,4,40.0
1594,6,60.0
1595,5,50.0
1596,6,60.0
1597,5,50.0
1598,5,50.0
1599,5,50.0
1600,7,70.0
1601,5,50.0
1602,6,60.0
1603,4,40.0
1604,7,70.0
1605,5,50.0
1606,9,90.0
1607,8,80.0
1608,9,90.0
1609,4,40.0
1610,7,70.0
1611,5,50.0
1612,7,70.0
1613,8,80.0
1614,6,60.0
1615,5,50.0
1616,6,60.0
1617,10,100.0
1618,6,60.0
1619,7,70.0
1620,9,90.0
1621,7,70.0
1622,9,90.0
1623,8,80.0
1624,6,60.0
1625,7,70.0
1626,7,70.0
1627,9,90.0
1628,6,60.0
1629,2,20.0
1630,8,80.0
1631,1,10.0
1632,9,90.0
1633,7,70.0
1634,4,40.0
1635,9,90.0
1636,3,30.0
1637,4,40.0
1638,5,50.0
1639,5,50.0
1640,8,80.0
1641,7,70.0
1642,4,40.0
1643,8,80.0
1644,8,80.0
1645,6,60.0
1646,8,80.0
1647,6,60.0
1648,9,90.0
1649,3,30.0
1650,7,70.0
1651,7,70.0
1652,2,20.0
1653,6,60.0
1654,7,70.0
1655,3,30.0
1656,10,100.0
1657,7,70.0
1658,7,70.0
1659,7,70.0
1660,4,40.0
1662,5,50.0
1663,7,70.0
1664,6,60.0
1665,5,50.0
